,social_beta,governance_beta,environment_beta
borrowed,-4.987368421052625,-2.422631578947365,-7.706842105263149
meaning,-0.47215686274509805,-1.5429411764705887,0.12372549019607947
assumes,-1.4715789473684193,-3.401578947368419,-4.44368421052631
redeemable,-0.6760784313725494,-0.0017647058823525533,3.570784313725492
unsuccessful,-0.6760784313725494,-0.0017647058823525533,3.570784313725492
influenced,,,
mmbbls,-0.03428571428571418,-0.006703296703296405,3.9009890109890124
blowout,2.2806249999999997,2.37625,0.00437499999999965
pensionplansdefinedbenefitmember,-1.8133333333333337,-1.2793333333333332,2.6006666666666667
espp,0.02933333333333336,-1.2273333333333332,-3.9766666666666666
connected,-1.7144444444444442,-1.4127777777777772,-2.4850000000000008
larger,,,
leading,,,
overhead,-1.7144444444444442,-1.4127777777777772,-2.4850000000000008
depreciated,-2.492631578947368,-1.812105263157893,3.7142105263157883
solid,3.3494736842105266,3.4299999999999997,7.91421052631579
chicago,-1.4112499999999997,-0.6670833333333329,1.070416666666667
delayed,,,
taxing,-0.35888888888888926,1.2872222222222218,-0.7572222222222227
broad,,,
taking,1.0021052631578944,-0.8015789473684208,0.4826315789473688
arabia,0.5462499999999999,-0.061249999999999825,-1.8206249999999997
norwegian,0.6070833333333332,1.5504166666666663,0.05666666666666615
view,,,
andeavor,-2.414117647058824,-1.5786274509803928,0.8723529411764707
shutdown,1.2021052631578937,3.766842105263157,2.3563157894736833
whereby,,,
disclose,,,
replaced,,,
installation,,,
bcfe,0.10747474747474779,-0.6598989898989898,0.30373737373737386
groundwater,-1.6200000000000003,-0.801666666666666,6.826111111111111
matures,-2.492631578947368,-1.812105263157893,3.7142105263157883
consolidate,,,
installed,1.0021052631578944,-0.8015789473684208,0.4826315789473688
readily,-0.2477777777777777,-2.2183333333333337,-2.0905555555555537
extinguishment,-1.4977777777777774,-2.507222222222222,-2.8294444444444435
owed,-4.987368421052625,-2.422631578947365,-7.706842105263149
justice,-0.7376190476190481,-0.16404761904761903,-2.9211904761904774
remote,-1.6610526315789453,0.24052631578947353,-4.138421052631576
priority,2.5284210526315785,1.6510526315789467,-0.05421052631579065
undertake,,,
spring,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
composed,0.22588235294117615,-0.452745098039216,1.9786274509803927
approximates,-0.49125,-1.858125,-2.751874999999999
ashland,-1.5552941176470598,-0.3394117647058827,2.6409803921568646
drive,-1.4172549019607847,-1.4645098039215687,-4.327254901960786
cementing,2.2995238095238095,1.5473809523809527,-2.5121428571428583
task,1.2547368421052627,1.5142105263157883,-3.348947368421051
trigger,,,
investee,-1.2564705882352947,-1.4684313725490197,0.15117647058823577
canyon,-0.687032967032967,0.582307692307693,0.9295604395604403
job,,,
root,-0.4814285714285717,0.3164285714285717,-2.4264285714285725
coke,-1.403076923076923,-0.46362637362637366,2.09021978021978
determines,,,
containing,-0.5768421052631579,0.2931578947368419,9.219473684210527
london,-3.9477777777777767,-2.2349999999999985,-2.1072222222222208
apb,3.0774999999999997,1.7325,1.6356249999999997
nondesignatedmember,-0.31380952380952376,-1.2354761904761913,0.24785714285714291
mellon,-0.6400000000000001,-0.5473809523809523,0.885952380952381
nonrecurring,,,
subordinated,-3.068235294117648,-1.899803921568628,-4.625294117647061
ship,-0.5768421052631579,0.2931578947368419,9.219473684210527
submission,2.6968421052631575,1.0721052631578942,1.0615789473684203
aspect,,,
compensatory,,,
australian,0.20848484848484855,0.7603030303030304,-3.1164646464646464
whenever,-0.5755555555555553,1.3983333333333328,1.9372222222222208
difficulty,,,
stack,-2.0519047619047623,-1.0973809523809535,-2.635476190476192
undivided,-1.5780392156862753,-1.8841176470588243,0.3315686274509802
label,1.0466666666666666,1.0983333333333334,3.6927777777777764
conservation,-2.492631578947368,-1.812105263157893,3.7142105263157883
placement,,,
comment,,,
toward,,,
history,,,
inception,-0.5768421052631579,0.2931578947368419,9.219473684210527
netherlands,0.6824242424242422,0.8760606060606061,-1.8855555555555557
resale,-0.8912500000000002,-1.6300000000000003,-0.7018749999999994
presently,,,
retainedearningsmember,,,
foregoing,,,
controlling,,,
fifth,,,
issuing,,,
sponsoring,,,
entitlement,0.1241666666666664,0.6454166666666671,1.1329166666666675
constitution,0.9685714285714289,-0.24071428571428594,2.6188095238095253
l,-1.8826666666666674,-1.8793333333333326,-2.698
agrio,1.4715789473684224,3.401578947368425,4.443684210526319
indemnify,-2.7741176470588247,-1.2880392156862743,-0.848823529411765
lago,0.7033333333333334,2.8072222222222227,1.8349999999999989
fundamental,,,
coastal,-0.429019607843138,0.0139215686274511,2.6217647058823537
measuring,,,
william,-1.4715789473684193,-3.401578947368419,-4.44368421052631
revolver,-0.616703296703297,-0.9891208791208794,0.8086813186813191
rely,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
removed,,,
regularly,-2.492631578947368,-1.812105263157893,3.7142105263157883
amounted,1.7631372549019604,1.7198039215686274,1.0374509803921572
vertical,2.3525,3.13875,3.5543749999999985
lowest,,,
entering,,,
element,,,
web,,,
xom,-0.6133333333333333,-0.15944444444444458,0.5127777777777788
euro,-1.2057142857142866,-0.7297802197802198,-3.7693406593406595
premcor,-1.1200000000000003,-2.2966666666666664,-2.062
indefinite,0.22588235294117615,-0.452745098039216,1.9786274509803927
column,,,
maximize,,,
newly,,,
asphalt,-0.869010989010989,-0.5779120879120879,2.184725274725275
panhandle,-0.4400000000000001,-0.6846666666666666,5.219333333333334
inflow,-0.2015686274509808,0.04921568627451013,4.7982352941176485
propylene,-0.14600000000000055,-0.38099999999999995,1.2950000000000006
remeasurement,,,
wrb,-0.35222222222222244,-0.676111111111111,3.373888888888888
thailand,0.5781818181818179,1.3239393939393937,0.4512121212121208
compare,1.2547368421052627,1.5142105263157883,-3.348947368421051
solely,,,
participated,-1.6200000000000003,-0.801666666666666,6.826111111111111
psx,-1.9966666666666668,-1.6705555555555556,1.796111111111111
unspecified,-0.9013333333333337,-0.8233333333333334,1.7126666666666674
gathered,-2.5705494505494495,-2.1209890109890104,0.09879120879120909
plain,-2.0276923076923077,-2.1297802197802196,-0.8440659340659334
train,-1.6211764705882357,-1.0723529411764707,0.5511764705882353
proprietary,,,
execution,,,
frequently,3.065263157894735,-0.18052631578947387,-0.11736842105263139
fargo,0.6814285714285718,0.01452380952380951,1.4954761904761904
alba,1.1584313725490196,2.02921568627451,5.805686274509807
rockies,1.4219047619047622,-0.3735714285714285,-3.2450000000000014
psc,0.3882828282828281,1.5784848484848486,3.4148484848484855
discovered,1.2547368421052627,1.5142105263157883,-3.348947368421051
possibility,,,
geismar,-0.9239215686274517,-2.8492156862745106,-4.186470588235295
adopting,,,
tender,1.2547368421052627,1.5142105263157883,-3.348947368421051
fleet,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
thereof,-0.05888888888888887,0.08722222222222238,-2.251666666666667
commencing,,,
unitholders,-2.7300000000000004,-2.423,-2.3910000000000005
catalyst,-0.4320833333333336,-0.033749999999999954,2.485
recognizes,,,
oak,-1.571313131313131,-1.288181818181818,0.5441414141414137
strength,,,
permanent,,,
salary,,,
lost,2.6968421052631575,1.0721052631578942,1.0615789473684203
bulk,-1.1466666666666674,-0.6846666666666666,-1.948666666666667
provincial,-0.3046153846153847,0.2218681318681321,3.5976923076923093
citibank,0.052857142857142735,-0.6973809523809529,-1.514047619047619
depth,2.394509803921568,2.417843137254902,1.2531372549019608
schema,1.0466666666666666,1.0983333333333334,3.6927777777777764
team,,,
rm,-0.8688888888888892,0.390555555555555,3.712777777777778
mostly,2.6968421052631575,1.0721052631578942,1.0615789473684203
casing,1.3554166666666665,2.0787499999999994,1.4079166666666665
expired,,,
unfunded,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
btu,-0.4468686868686869,-0.8128282828282828,3.308383838383838
restrict,,,
imbalance,1.9966666666666668,1.6705555555555556,-1.7961111111111114
dynegy,0.1422222222222225,-0.19277777777777716,1.1016666666666657
thereby,,,
profile,2.5284210526315785,1.6510526315789467,-0.05421052631579065
dismiss,-0.7423809523809528,-0.5354761904761907,0.7311904761904767
magnitude,,,
retention,,,
targeted,,,
endedmarch,,,
fail,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
hill,0.09571428571428557,0.04547619047619076,4.914523809523811
war,0.7411111111111113,0.031666666666666544,-2.2461111111111105
treadway,,,
wpx,-1.9160784313725492,-2.4609803921568627,-5.9080392156862755
ethic,-3.508888888888888,-1.151666666666666,-6.251666666666665
codification,1.1188888888888888,0.7205555555555562,5.42611111111111
occ,-1.6587499999999997,-2.5262499999999997,-2.135625
believed,3.065263157894735,-0.18052631578947387,-0.11736842105263139
proportion,-2.1922222222222225,-0.829444444444444,-0.22388888888888814
mississippi,-1.6200000000000003,-0.801666666666666,6.826111111111111
superior,1.2547368421052627,1.5142105263157883,-3.348947368421051
secretary,-2.492631578947368,-1.812105263157893,3.7142105263157883
nigerian,0.5995238095238097,1.6640476190476197,-0.39547619047619087
generating,,,
error,,,
accumulatedothercomprehensiveincomemember,-0.7033333333333333,-2.8072222222222227,-1.8349999999999989
servicing,0.053333333333332976,0.4566666666666667,-1.3220000000000003
predicted,,,
revise,,,
expiring,,,
engage,,,
import,,,
undistributed,-1.2088888888888882,-0.7127777777777773,-3.507222222222221
foreignplanmember,1.596363636363636,1.1926262626262623,0.45121212121212095
street,1.2547368421052627,1.5142105263157883,-3.348947368421051
shut,,,
overland,-1.0522222222222222,-4.087222222222222,-5.181666666666667
refiner,-2.9506249999999996,-1.564374999999999,0.42625
transcontinental,0.3599999999999993,-1.5824999999999996,-4.860624999999999
reinvested,2.6968421052631575,1.0721052631578942,1.0615789473684203
rated,-2.9506249999999996,-1.564374999999999,0.42625
spraberry,-0.2911111111111106,1.5572222222222223,2.7738888888888886
appear,,,
lessee,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
move,,,
columbia,-1.5977777777777773,-0.5849999999999996,-2.6683333333333334
prime,0.6181249999999999,0.554375,0.47937500000000055
upward,1.8411111111111116,2.665,4.498333333333332
absolute,1.3356862745098046,1.0923529411764707,2.390392156862745
finished,2.296666666666667,1.3872222222222221,4.431666666666667
seller,-1.6200000000000003,-0.801666666666666,6.826111111111111
though,,,
ton,2.1466666666666665,-0.5183333333333333,0.19277777777777838
contributing,,,
expedient,,,
advanced,,,
leverage,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
manufactured,-1.1333333333333335,-0.6846666666666672,-2.716666666666667
stream,-0.9699999999999993,-1.6127777777777783,2.248333333333333
failed,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
twelve,,,
lubricant,-0.09066666666666669,0.46066666666666684,2.991333333333334
j,-1.1573333333333329,-1.2073333333333336,-1.599333333333333
embedded,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
situation,,,
corn,-1.4743750000000004,-1.4512500000000002,-0.11062499999999931
paying,,,
follow,,,
marketer,-1.28,-0.4370588235294116,8.060980392156866
opa,1.313124999999999,0.005000000000000022,-2.798124999999999
optimize,,,
receiving,,,
paragraph,-0.5768421052631579,0.2931578947368419,9.219473684210527
predecessor,-1.3427450980392162,-0.30372549019607836,1.5511764705882358
midwest,0.4052380952380953,-1.2807142857142866,3.350238095238097
disagreement,,,
reserved,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
unpaid,1.2547368421052627,1.5142105263157883,-3.348947368421051
herewith,0.14,0.5824999999999999,3.154374999999999
unforeseen,,,
expression,-0.9404166666666671,-0.8066666666666663,-0.6441666666666666
european,0.6118750000000001,0.379375,0.52
alleges,-1.8447058823529419,-1.0605882352941178,3.4060784313725514
loe,-0.7466666666666661,0.9683333333333333,3.0294444444444437
jury,0.5616666666666666,-0.3025,-4.154583333333334
mercantile,-1.28,-0.4370588235294116,8.060980392156866
collected,-0.5768421052631579,0.2931578947368419,9.219473684210527
spinoff,0.16266666666666646,-0.3020000000000003,-0.27799999999999975
forfeited,1.2547368421052627,1.5142105263157883,-3.348947368421051
select,1.3133333333333332,0.059444444444444404,4.803888888888888
unexpected,,,
serf,3.065263157894735,-0.18052631578947387,-0.11736842105263139
texpet,1.4715789473684224,3.401578947368425,4.443684210526319
mud,1.6226262626262622,1.0471717171717168,-1.5124242424242422
secure,,,
commonstockmember,-1.4715789473684193,-3.401578947368419,-4.44368421052631
discretion,-1.4715789473684193,-3.401578947368419,-4.44368421052631
mbbls,0.3309890109890115,0.43527472527472544,2.916593406593408
official,1.2547368421052627,1.5142105263157883,-3.348947368421051
conflict,,,
horizon,0.48078431372548985,0.5041176470588239,0.1158823529411773
ceo,1.2547368421052627,1.5142105263157883,-3.348947368421051
merit,,,
calendar,,,
recognizing,,,
exchangeable,0.1683516483516489,1.8550549450549454,2.7275824175824193
kmr,-3.3494736842105266,-3.4299999999999997,-7.91421052631579
n,-1.669333333333334,-1.2339999999999993,-1.97
enron,0.8595833333333334,0.5912500000000003,1.87875
freeport,-1.4964705882352947,-1.755098039215687,-0.566862745098039
downturn,2.5284210526315785,1.6510526315789467,-0.05421052631579065
negligence,-0.887619047619048,-0.12595238095238115,-3.230714285714287
pertaining,-2.492631578947368,-1.812105263157893,3.7142105263157883
representation,-0.5768421052631579,0.2931578947368419,9.219473684210527
terrorist,-0.40687500000000015,-0.9049999999999996,3.5324999999999998
accident,,,
mslp,-0.35222222222222244,-0.676111111111111,3.373888888888888
singapore,0.7595833333333333,1.6287499999999997,1.6245833333333326
leak,-0.5768421052631579,0.2931578947368419,9.219473684210527
earliest,0.4180392156862744,-0.46058823529411763,3.0492156862745103
fulfill,-0.5768421052631579,0.2931578947368419,9.219473684210527
lesser,,,
reliance,-1.031111111111111,-0.8349999999999999,-2.0905555555555564
remediate,-0.5768421052631579,0.2931578947368419,9.219473684210527
shared,0.6141176470588235,-0.17823529411764716,-1.2527450980392165
nyse,-1.4715789473684193,-3.401578947368419,-4.44368421052631
inquiry,0.24312500000000015,-0.17062500000000005,-3.2268749999999993
nearly,0.1389473684210521,-1.9173684210526312,0.9668421052631573
matured,2.0855555555555556,1.365,-1.2072222222222224
lien,-1.4452747252747253,-1.1913186813186813,-0.0858241758241757
methanol,0.21600000000000008,0.922,3.5513333333333343
dismissed,-0.770196078431373,-0.8645098039215684,4.998235294117649
manages,0.16705882352941198,0.033529411764705766,2.2256862745098034
peak,2.5284210526315785,1.6510526315789467,-0.05421052631579065
uncommitted,-0.658,-0.9670000000000001,-0.11499999999999969
calculating,,,
commence,-2.492631578947368,-1.812105263157893,3.7142105263157883
aoci,1.1429166666666661,1.035,2.3933333333333335
completing,,,
shipping,-0.8160000000000003,-0.2740000000000001,1.347333333333334
otc,-1.1773737373737376,-1.9265656565656564,-0.21747474747474702
insurer,-0.23111111111111138,-0.8572222222222222,5.37611111111111
tied,-0.3311111111111112,0.09833333333333316,-3.768333333333333
judicial,1.2547368421052627,1.5142105263157883,-3.348947368421051
creditworthiness,1.849375,0.30125,2.6762499999999996
arthur,-0.3131250000000001,-1.0424999999999993,1.4012500000000006
evaluates,1.2547368421052627,1.5142105263157883,-3.348947368421051
properly,1.2572549019607846,1.072745098039216,2.5825490196078444
tskj,0.36631578947368326,-0.3457894736842102,-8.703684210526317
uds,-2.52842105263158,-1.651052631578948,0.054210526315790306
opc,1.6610526315789482,-0.24052631578947387,4.138421052631582
bid,0.7022222222222222,-0.1461111111111108,0.07611111111111024
coiled,1.28,0.4370588235294115,-8.060980392156864
downhole,2.1876190476190476,0.9926190476190476,-0.8073809523809534
returned,,,
furthermore,,,
length,,,
additionalpaidincapitalmember,-1.2721568627450983,-1.6605882352941186,1.4374509803921578
suspension,-1.6610526315789453,0.24052631578947353,-4.138421052631576
correct,0.4180392156862744,-0.46058823529411763,3.0492156862745103
piceance,0.1256565656565655,-0.5184848484848483,0.3724242424242425
young,-1.843076923076923,-1.1078021978021975,-3.0001098901098904
cease,,,
implementing,,,
redeem,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
residential,-0.4644444444444446,-1.1238888888888887,-1.7461111111111107
pollutant,-1.3937254901960792,-0.970392156862745,-2.4762745098039214
rising,,,
travel,-4.987368421052625,-2.422631578947365,-7.706842105263149
improving,,,
allegedly,-1.5349019607843142,-0.2958823529411766,0.4805882352941177
prevention,,,
injunctive,-2.9506249999999996,-1.564374999999999,0.42625
cent,0.7743749999999997,-0.18312500000000015,1.6543749999999993
reviewing,1.2547368421052627,1.5142105263157883,-3.348947368421051
entirety,-0.6144444444444445,0.031666666666666725,3.2594444444444446
cancellation,,,
gulfstream,-0.7915789473684218,-3.977368421052632,-7.461578947368422
fcpa,0.8975000000000001,0.6549999999999998,-4.57625
additive,0.9618749999999999,1.2699999999999998,-0.07062499999999985
appointed,0.20235294117647037,1.1943137254901965,-0.4841176470588231
deficit,-0.600625,-1.48625,-2.401875
legislative,-0.5768421052631579,0.2931578947368419,9.219473684210527
cut,,,
colombia,0.06901098901098913,0.39769230769230796,-1.6242857142857148
financially,-1.618666666666667,-1.319333333333334,-1.7166666666666668
mbbld,0.6447058823529416,-0.23352941176470637,3.550784313725491
restrictive,-1.0977777777777782,-1.501666666666666,-1.3238888888888882
nonoperated,1.4320000000000004,1.636666666666667,4.4526666666666666
mbbl,0.5054545454545455,-0.12858585858585872,2.948181818181819
space,,,
build,,,
outlet,-1.8468686868686868,-0.6976767676767677,1.8821212121212123
treated,,,
consortium,0.25142857142857145,0.6196703296703304,-0.7297802197802197
annum,-0.6811111111111117,1.0316666666666674,3.2038888888888892
nonfinancial,-0.08666666666666704,-0.39055555555555554,1.5816666666666672
reversal,,,
essentially,,,
de,-4.987368421052625,-2.422631578947365,-7.706842105263149
christi,-1.5617582417582416,0.48780219780219825,3.268021978021978
noncontrollinginterestmember,-2.950588235294118,-2.0723529411764714,-7.299803921568631
parish,-0.537582417582418,0.06582417582417587,1.9603296703296715
declining,,,
notified,-1.8447058823529419,-1.0605882352941178,3.4060784313725514
assist,,,
adjacent,-1.5088888888888887,-0.7738888888888884,6.553888888888889
technological,0.6244444444444439,-0.7961111111111111,-2.062777777777778
leasing,,,
probability,,,
extraction,2.0855555555555556,1.365,-1.2072222222222224
grew,2.888,2.579333333333333,1.7100000000000006
contentsthe,-0.8339393939393941,-0.775050505050505,-1.0457575757575757
installment,-0.5768421052631579,0.2931578947368419,9.219473684210527
mitigated,-3.6255555555555548,-1.979444444444444,-6.068333333333334
transocean,0.9841666666666663,1.6254166666666665,0.9899999999999995
sought,,,
moreover,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
conducting,,,
achieving,,,
efficient,3.065263157894735,-0.18052631578947387,-0.11736842105263139
routinely,-0.7631249999999996,-0.1799999999999997,-3.5706249999999997
temporarily,,,
prescribed,0.8931250000000002,0.9575000000000001,4.641875
smith,0.8008791208791208,-0.6330769230769234,-3.7891208791208806
documentation,-1.2977777777777777,-0.5461111111111111,2.8649999999999993
remedy,1.2533333333333336,0.8766666666666667,-1.9860784313725492
immediate,,,
voluntary,,,
amends,,,
chain,,,
companynotes,0.11999999999999965,0.8294444444444449,-5.103888888888889
much,,,
unresolved,,,
barge,-1.897142857142858,-0.7616666666666668,0.9597619047619048
unrelated,-1.1811111111111108,0.2816666666666666,2.6816666666666675
medicare,1.661176470588235,-0.21745098039215707,-0.9311764705882349
corpus,-1.5617582417582416,0.48780219780219825,3.268021978021978
highest,,,
nation,,,
indefinitely,,,
ernst,-0.9107070707070704,-0.44373737373737354,-1.5467676767676763
tangible,,,
going,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
mechanism,0.4768627450980393,0.3198039215686274,-3.880196078431373
burlington,0.39458333333333295,-0.3745833333333333,2.1441666666666666
pursuing,,,
viability,0.35777777777777775,0.953888888888889,3.098333333333334
allowing,,,
permanently,,,
people,3.065263157894735,-0.18052631578947387,-0.11736842105263139
survey,1.9688888888888887,2.859444444444445,1.2149999999999992
treasurystockmember,1.4611764705882353,0.5354901960784316,4.28843137254902
conditional,-0.5768421052631579,0.2931578947368419,9.219473684210527
exploitation,1.8586666666666665,1.483333333333334,2.352666666666668
constructed,-0.5768421052631579,0.2931578947368419,9.219473684210527
opeb,-1.6415686274509809,-0.6256862745098039,-1.2727450980392159
surrounding,0.8966666666666665,-0.8072222222222221,-0.5461111111111113
headquarters,-0.8533333333333335,-1.7620000000000002,-1.946
miscellaneous,0.35777777777777775,0.953888888888889,3.098333333333334
conoco,-0.20800000000000002,0.33300000000000013,1.051
david,1.7043137254901963,2.6609803921568624,1.5119607843137257
predominantly,2.6968421052631575,1.0721052631578942,1.0615789473684203
withdrawal,-0.5768421052631579,0.2931578947368419,9.219473684210527
aware,3.065263157894735,-0.18052631578947387,-0.11736842105263139
contentsitem,-0.8339393939393941,-0.775050505050505,-1.0457575757575757
threat,,,
inadequate,,,
corrective,,,
symbol,,,
bad,-0.22875000000000023,-0.9174999999999999,-2.33625
satisfied,,,
organized,-2.1033333333333326,-1.7016666666666662,-3.812777777777776
governed,1.8355555555555552,-0.6405555555555555,-3.346111111111111
improper,-0.11444444444444433,-0.9961111111111113,-4.112777777777777
interbank,-3.001568627450981,-1.4684313725490195,1.9472549019607857
commerce,1.045333333333333,-0.8233333333333336,-0.12733333333333252
michael,-0.9693749999999998,0.08562500000000003,1.4637499999999999
bring,,,
marketed,1.0466666666666666,1.0983333333333334,3.6927777777777764
prepayment,-1.8699999999999994,-0.5738888888888888,-4.1850000000000005
increasingly,,,
understand,-1.6610526315789453,0.24052631578947353,-4.138421052631576
speculative,-1.1600000000000004,-1.9780000000000004,-6.484666666666669
continuously,-0.5768421052631579,0.2931578947368419,9.219473684210527
treasurer,-0.6533333333333334,-0.15722222222222168,0.1927777777777786
exporting,,,
track,0.4911111111111112,1.087222222222222,4.448333333333332
quota,0.24999999999999975,-0.2129999999999996,-1.9770000000000003
ngpl,-1.3043137254901964,-2.0060784313725497,-0.8099999999999996
comparing,,,
priced,-1.5977777777777773,-0.5849999999999996,-2.6683333333333334
correlation,1.190588235294118,1.0923529411764707,-2.4017647058823535
dolphin,1.6533333333333327,1.668333333333334,4.529444444444443
nonperformance,0.41846153846153844,-0.5275824175824178,2.1031868131868148
eliminate,-0.5768421052631579,0.2931578947368419,9.219473684210527
indemnified,-1.0210989010989011,-0.7034065934065928,1.7361538461538462
plc,-1.514666666666667,-1.111333333333333,-3.871333333333334
corporationcondensed,1.4250980392156867,0.7899999999999997,3.2331372549019624
concentrated,2.6968421052631575,1.0721052631578942,1.0615789473684203
bps,0.576842105263158,-0.29315789473684195,-9.219473684210527
clarifies,0.7022222222222222,-0.1461111111111108,0.07611111111111024
robert,1.1188888888888888,0.7205555555555562,5.42611111111111
unplanned,-0.825098039215686,0.48450980392156884,3.5119607843137266
sometimes,0.6244444444444439,-0.7961111111111111,-2.062777777777778
variation,0.3522222222222224,0.6761111111111116,-3.3738888888888887
communicated,,,
emergency,,,
maturing,-3.9477777777777767,-2.2349999999999985,-2.1072222222222208
military,0.7429166666666666,0.3891666666666668,2.3391666666666677
anniversary,1.2021052631578937,3.766842105263157,2.3563157894736833
discretionary,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
repatriation,-0.4054901960784314,0.9001960784313733,-1.5978431372549027
independence,,,
temperature,-1.6610526315789453,0.24052631578947353,-4.138421052631576
facilitate,,,
subcontractor,-0.30060606060606077,0.44717171717171694,-1.1063636363636364
vehicle,,,
diverse,-4.987368421052625,-2.422631578947365,-7.706842105263149
spent,,,
bpd,-1.145050505050505,-2.0376767676767673,-0.003333333333333096
adding,,,
taxation,1.2021052631578937,3.766842105263157,2.3563157894736833
designatedashedginginstrumentmember,-1.8054166666666664,-2.5016666666666665,-5.3725000000000005
fracture,2.142000000000001,2.6390000000000002,1.3629999999999995
agree,1.2547368421052627,1.5142105263157883,-3.348947368421051
butane,-2.698021978021977,-1.6924175824175822,0.9251648351648358
corroborated,-0.07791666666666715,-0.9129166666666665,-2.1858333333333335
continental,2.2806249999999997,2.37625,0.00437499999999965
unconditionally,-0.23466666666666672,0.160666666666667,1.1180000000000008
legally,0.452222222222222,0.8538888888888895,6.1372222222222215
announcement,,,
wolfcamp,0.01750000000000012,1.4045833333333333,3.2129166666666666
inclusion,,,
strike,2.28,0.703888888888889,-1.8294444444444438
instability,1.2021052631578937,3.766842105263157,2.3563157894736833
withheld,2.477333333333333,1.4193333333333327,0.6246666666666666
supervision,1.5631372549019609,0.7943137254901963,-3.58607843137255
monitored,0.7744444444444442,1.109444444444444,2.1761111111111098
vendor,,,
explores,0.15291666666666656,0.45249999999999996,3.360833333333334
sweeny,-0.7556250000000001,-0.38874999999999965,0.8674999999999998
designation,-0.9443750000000001,-0.40187499999999965,2.573125
instead,,,
cycle,3.065263157894735,-0.18052631578947387,-0.11736842105263139
oxychem,1.6610526315789482,-0.24052631578947387,4.138421052631582
azerbaijan,0.5529166666666666,1.4129166666666666,-2.6912500000000006
pricewaterhousecoopers,0.0521212121212122,-0.16030303030303023,-1.5926262626262624
province,0.8100000000000003,0.27880952380952395,4.3502380952380975
encountered,-0.05888888888888887,0.08722222222222238,-2.251666666666667
rendered,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
exceeding,,,
refinance,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
closure,,,
kentucky,-0.931717171717172,-1.79060606060606,-3.2512121212121214
context,-2.492631578947368,-1.812105263157893,3.7142105263157883
raise,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
retrospectively,-1.7699999999999996,-2.4961111111111114,-4.346111111111111
stem,0.29978021978021985,1.657032967032967,1.955934065934065
controlled,-0.5768421052631579,0.2931578947368419,9.219473684210527
petrobras,0.7653333333333333,0.5593333333333336,-4.832666666666666
lateral,0.7618749999999999,0.10749999999999983,-1.5518750000000003
monte,0.10431372549019571,0.7119607843137258,7.76686274509804
carlo,0.10431372549019571,0.7119607843137258,7.76686274509804
internationally,0.32266666666666655,1.7020000000000002,1.2806666666666657
run,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
james,0.41263157894736746,-1.0331578947368412,-6.2226315789473645
retire,-0.23111111111111138,-0.8572222222222222,5.37611111111111
oci,1.1820000000000002,0.8949999999999998,1.5570000000000002
role,,,
coupled,-0.11444444444444433,-0.9961111111111113,-4.112777777777777
interval,0.8493749999999998,1.5543749999999996,0.41062499999999935
shift,,,
execute,,,
cont,-0.5306250000000003,1.0581250000000002,-0.4324999999999994
complying,,,
season,3.065263157894735,-0.18052631578947387,-0.11736842105263139
blend,-1.8693749999999998,-1.704999999999999,-2.345624999999999
graph,-0.1599999999999998,-0.9299999999999999,-1.6456250000000003
lls,-1.0095833333333333,0.5254166666666666,3.760833333333334
mitchell,-1.0159999999999993,-0.38733333333333314,1.4606666666666666
coso,,,
inaccurate,-1.016190476190477,-1.8330952380952388,0.4145238095238105
panel,-1.0070833333333336,-1.604583333333333,-0.9399999999999998
midland,1.0559999999999998,1.5073333333333327,5.552666666666667
discrete,1.8572549019607845,2.582549019607843,-0.3899999999999999
cwa,-0.1909523809523812,-0.07166666666666661,-2.076428571428571
dealer,-1.28,-0.4370588235294116,8.060980392156866
caspian,0.5529166666666666,1.4129166666666666,-2.6912500000000006
regulate,-0.5037499999999998,-0.3456249999999997,3.3981249999999985
economics,,,
informationitem,-0.770196078431373,-0.8645098039215684,4.998235294117649
blending,-1.3352380952380956,-1.2021428571428578,-1.2592857142857146
cross,-1.3724999999999998,-1.714375,-1.3018749999999986
inline,,,
fractionator,-2.3753535353535353,-2.3912121212121207,-2.647777777777777
analogous,0.4623809523809522,0.3097619047619051,2.188333333333335
branded,-1.0033333333333336,0.5420833333333334,3.7525000000000004
deducting,-1.081111111111111,-1.6405555555555558,2.520555555555557
congress,1.2547368421052627,1.5142105263157883,-3.348947368421051
continuous,-1.6610526315789453,0.24052631578947353,-4.138421052631576
spend,,,
